title,release_date,maturity_rating,genre,rating,directors,stars,votes
The Last of Us: Part I,2022,M,['Action' ' Adventure' ' Drama'],9.8,['Matthew Gallant' ' Bruce Straley'],['Ashley Johnson' ' Troy Baker' ' Hana Hayes' ' Jeffrey Pierce'],3525
The Witcher 3: Wild Hunt - Blood and Wine,2016,M,['Action' ' Adventure' ' Drama'],9.8,['Konrad Tomaszkiewicz'],['Doug Cockle' ' MyAnna Buring' ' Antonia Bernath' ' Mark Noble'],8795
The Last of Us,2013,M,['Action' ' Adventure' ' Drama'],9.7,['Neil Druckmann' ' Bruce Straley'],['Troy Baker' ' Ashley Johnson' ' Hana Hayes' ' Jeffrey Pierce'],69017
God of War: Ragnarök,2022,M,['Action' ' Adventure' ' Drama'],9.7,['Eric Williams'],"['Christopher Judge' ' Sunny Suljic' ' Danielle Bisutti'
 ' Robert Craighead']",11569
Red Dead Redemption II,2018,M,['Action' ' Adventure' ' Crime'],9.7,,"['Benjamin Byron Davis' ' Roger Clark' ' Rob Wiethoff'
 ' Cali Elizabeth Moore']",42853
The Witcher 3: Wild Hunt,2015,M,['Action' ' Adventure' ' Drama'],9.7,['Konrad Tomaszkiewicz'],['Doug Cockle' ' Denise Gough' ' Jo Wyatt' ' Jaimi Barbakoff'],29120
Mass Effect: Legendary Edition,2021,M,['Action' ' Adventure' ' Drama'],9.6,['Casey Hudson' ' Mac Walters'],['Steven Barr' ' Kimberly Brooks' ' Keith David' ' Seth Green'],2210
Metal Gear Solid,1998,M,['Action' ' Adventure' ' Drama'],9.6,['Hideo Kojima'],['David Hayter' ' Patric Zimmerman' ' Peter Lurie' ' Akio Ôtsuka'],12111
Wanted: Dead,2023,M,['Action' ' Sci-Fi'],9.6,"['Hiroaki Matsui' ' Stefanie Joosten' ' Sergei Kolobashkin'
 ' Ildiko Preszly']","['Fee Marie Zimmermann' ' Stefanie Joosten' ' Sergei Kolobashkin'
 ' Tony Clark']",538
The Legend of Zelda: Ocarina of Time,1998,E,['Action' ' Adventure' ' Fantasy'],9.6,"['Eiji Aonuma' ' Yoichi Yamada' ' Yoshiaki Koizumi' ' Shigeru Miyamoto'
 ' Tôru Ôsawa']",['Nobuyuki Hiyama' ' Fujiko Takimoto' ' Jun Mizusawa' ' Takashi Nagasako'],9982
Grand Theft Auto V,2013,M,['Action' ' Comedy' ' Crime'],9.5,,"['Shawn Fonteno' ' Ned Luke' ' Steven Ogg' "" Gerald 'Slink' Johnson""]",64487
Uncharted 4: A Thief's End,2016,T,['Action' ' Adventure' ' Drama'],9.5,['Neil Druckmann' ' Bruce Straley'],['Nolan North' ' Troy Baker' ' Richard McGonagle' ' Emily Rose'],31866
God of War,2018,M,['Action' ' Adventure' ' Drama'],9.5,['Cory Barlog'],['Christopher Judge' ' Sunny Suljic' ' Jeremy Davies' ' Danielle Bisutti'],31990
Mass Effect 2,2010,M,['Action' ' Adventure' ' Drama'],9.5,['Casey Hudson'],['Shohreh Aghdashloo' ' Maggie Baird' ' Adam Baldwin' ' Michael Beattie'],20524
